Delhi metro fare : 1st query,Prerna,Ojasvi,Urvi,Himanshu,,Prerna ,Ojasvi ,Urvi,Himanshu
"7,8",,0,,,,,,,
"7,9",,0,,,,,,,
"7,10",,0,,,,,,,
"8,9",,0,,,,,,,
"8,10",,0,,,,,,,
"9,10",,0,,,,,,,
,,,,,,,,,
delhi metro map : 2nd query,,,,,,,,,
,,,,,,,,,
https://www.mapsofindia.com/maps/delhi/delhi-metro-stations-map.html,,1,,,,,1,,
https://www.mapsofindia.com/maps/delhi/delhi-metro-map.html,,1,,,,,2,,
http://www.delhimetrorail.com/OtherDocuments/Route_Map.pdf,,1,,,,,3,,
https://store.mapsofindia.com/digital-maps/city-maps/india/delhi-metro-maphttp://www.baidu.com/link?url=ZisgFrZurejo5pkxSzgOuFWRQcJ3h0_wWaf55vsTlK6iUqeoh2o8zunQIERHUug9gCY35UikU6cILIiUphdE5sBxyozhw0tbnaRi0uUcaXZqHQXPnyln_nE6qS5XLqtA04yqv5HAJX5HY3PT6n6wKq,,1,,,,,4,,
http://www.baidu.com/link?url=CeqgdOc8OmkUxCGeeGtzG3gR2-unJ8Xcaigq3mkXIndAcHAyFrYsSVlsbWV85kRJQdiQMO8cVIOn2fDgqInNgBDeZEa5VCrHsUo48JE76qBiZgMjsY84-e34mHnEdIQGeJRB_6yfva6I2pDmcIZVS_,,1,,,,,5,,
http://www.delhimetrotimes.in/route-map.html,,1,,,,,6,,
http://www.baidu.com/link?url=X76AYNY5rFBXH64oNAq-ELdy5BdE0sBq91A7FvYZhZGK15rBHkHwJYFshu8Fbl9g,,1,,,,,7,,
https://en.wikipedia.org/wiki/Delhi_Metro,,1,,,,,8,,
https://en.wikipedia.org/wiki/Delhi,,1,,,,,9,,
http://www.focusdelhi.com/maps/metro-map.html,,1,,,,,10,,
,,,,,,,,,
Ranking Annotation,,,,,,,,,
,,,,,,,,,
"1,2",,0,,,,,,,
"1,3",,0,,,,,,,
"1,4",,0,,,,,,,
"1,5",,0,,,,,,,
"1,6",,0,,,,,,,
"1,7",,0,,,,,,,
"1,8",,0,,,,,,,
"1,9",,0,,,,,,,
"1,10",,0,,,,,,,
"2,3",,0,,,,,,,
"2,4",,0,,,,,,,
"2,5",,0,,,,,,,
"2,6",,0,,,,,,,
"2,7",,0,,,,,,,
"2,8",,0,,,,,,,
"2,9",,0,,,,,,,
"2,10",,0,,,,,,,
"3,4",,0,,,,,,,
"3,5",,0,,,,,,,
"3,6",,0,,,,,,,
"3,7",,0,,,,,,,
"3,8",,0,,,,,,,
"3,9",,0,,,,,,,
"3,10",,0,,,,,,,
"4,5",,0,,,,,,,
"4,6",,0,,,,,,,
"4,7",,0,,,,,,,
"4,8",,0,,,,,,,
"4,9",,0,,,,,,,
"4,10",,0,,,,,,,
"5,6",,0,,,,,,,
"5,7",,0,,,,,,,
"5,8",,0,,,,,,,
"5,9",,0,,,,,,,
