,Ojasvi,,Ojasvi 
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,1,,
,0,,
,1,,
,1,,
,,,
,,,
,,,
http,1,,2
http,1,,3
http,0,,4
http,1,,1
http,0,,5
http,0,,6
http,0,,7
http,0,,8
http,0,,9
http,0,,10
,,,
,,,
,,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,,,
,,,
,,,
http,1,,2
http,1,,7
http,1,,6
http,1,,3
http,1,,1
http,1,,4
http,1,,5
http,0,,9
http,0,,10
http,0,,8
,,,
,,,
,,,
,1,,
,1,,
,0,,
,0,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,0,,
,0,,
,0,,
,1,,
,1,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,0,,
,,,
,,,
,,,
http,1,,5
http,1,,1
http,1,,2
http,1,,6
http,1,,3
http,0,,8
http,1,,4
http,0,,9
http,0,,10
http,0,,7
,,,
,,,
,,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,0,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,,,
,Ojasvi,,Ojasvi 
,,,
http,1,,1
http,1,,2
http,1,,3
http,1,,4
http,1,,5
http,1,,6
http,0,,8
http,1,,7
http,0,,9
http,0,,10
,,,
,,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,,,
,,,
,,,
http,1,,2
http,1,,3
http,1,,1
http,1,,4
http,1,,5
http,1,,6
http,1,,7
http,1,,8
http,1,,9
http,1,,10
,,,
,,,
,,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,,,
,,,
,,,
http,1,,1
http,1,,2
http,1,,3
http,1,,10
http,1,,4
http,1,,5
http,1,,6
http,1,,7
http,1,,8
http,1,,9
,,,
,,,
,,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,1,,
,0,,
,1,,
,1,,
,,,
,,,
,,,
http,1,,1
http,1,,2
http,1,,10
http,1,,3
http,1,,4
http,1,,5
http,1,,6
http,1,,7
http,1,,8
http,1,,9
,,,
,,,
,,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,1,,
,0,,
,1,,
,1,,
,,,
,,,
,,,
http,1,,1
http,0,,7
http,0,,8
http,1,,2
http,1,,3
http,0,,9
http,1,,4
http,0,,10
http,1,,5
http,1,,6
,,,
,,,
,,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,0,,
,0,,
,1,,
,1,,
,1,,
,1,,
,1,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,,,
,,,
http,1,,3
http,1,,1
http,1,,2
http,1,,4
http,1,,5
http,1,,6
http,1,,7
http,1,,8
http,1,,9
http,1,,10
,,,
,,,
,,,
,,,
,0,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,,,
,,,
http,1,,5
http,1,,6
http,1,,3
http,1,,1
http,1,,2
http,1,,4
http,1,,7
http,1,,8
http,1,,9
http,1,,10
,,,
,,,
,,,
,,,
,0,,
,1,,
,1,,
,1,,
,0,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,1,,
,1,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,1,,
,1,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,,,
,,,
http,1,,1
http,1,,2
http,1,,4
http,1,,3
http,1,,5
http,1,,6
http,1,,10
http,0,,7
http,0,,8
http,1,,9
,,,
,,,
,,,
,,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,1,,
,0,,
,,,
,,,
http,1,,1
http,1,,2
http,1,,3
http,0,,4
http,0,,5
http,0,,6
http,0,,7
http,0,,8
http,0,,9
http,0,,10
,,,
,,,
,,,
,,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,,,
,,,
http,1,,1
http,1,,2
http,1,,3
http,1,,4
http,1,,5
http,1,,6
http,1,,7
http,1,,8
http,1,,9
http,1,,10
,,,
,,,
,,,
,,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,,,
,Ojasvi,,Ojasvi 
http,1,,3
http,0,,1
http,1,,4
http,1,,5
http,1,,6
http,1,,7
http,1,,8
http,0,,10
http,0,,2
http,1,,9
,,,
,,,
,,,
,,,
,,,
,0,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,0,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,,,
,,,
http,1,,1
http,1,,2
http,1,,3
http,1,,4
http,1,,5
http,1,,6
http,0,,9
http,0,,10
http,1,,7
http,1,,8
,,,
,,,
,,,
,,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,0,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,,,
,,,
http,1,,1
http,1,,2
http,0,,3
http,0,,4
http,0,,5
http,0,,6
http,0,,7
http,0,,8
http,0,,9
http,0,,10
,,,
,,,
,,,
,,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,,,
,,,
,,,
http,1,,1
http,1,,4
http,0,,5
http,1,,2
http,1,,8
http,1,,6
http,1,,7
http,1,,3
http,0,,10
http,1,,9
,,,
,,,
,,,
,0,,
,0,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,0,,
,1,,
,1,,
,0,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,1,,
,1,,
,0,,
,1,,
,0,,
,0,,
,0,,
,1,,
,0,,
,,,
,,,
,,,
http,0,,4
http,1,,5
http,0,,6
http,1,,2
http,1,,7
http,1,,10
http,1,,8
http,1,,1
http,0,,3
http,1,,9
,,,
,,,
,,,
,0,,
,0,,
,1,,
,1,,
,0,,
,0,,
,1,,
,1,,
,0,,
,0,,
,0,,
,1,,
,1,,
,0,,
,1,,
,0,,
,1,,
,1,,
,1,,
,1,,
,0,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,1,,
,0,,
,0,,
,0,,
,1,,
,1,,
,,,
,,,
http,1,,2
http,1,,3
http,1,,4
http,1,,1
http,1,,5
http,1,,6
http,0,,7
http,0,,8
http,0,,9
http,0,,10
,,,
,,,
,,,
,,,
,1,,
,1,,
,1,,
,0,,
,0,,
,1,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,1,,
,0,,
,,,
,,,
http,1,,1
http,1,,2
http,0,,5
http,0,,6
http,1,,7
http,1,,8
http,1,,9
http,1,,10
http,1,,3
http,1,,4
,,,
,,,
,,,
,,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,0,,
,0,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,,,
,,,
,,,
http,1,,1
http,1,,2
http,1,,5
http,0,,6
http,0,,7
http,1,,8
http,1,,10
http,1,,3
http,0,,4
http,0,,9
,,,
,,,
,,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,1,,
,1,,
,1,,
,1,,
,0,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,0,,
,,,
,,,
,,,
http,1,,1
http,1,,3
http,1,,2
http,1,,5
http,1,,4
http,1,,8
http,1,,9
http,1,,6
http,1,,7
http,1,,10
,,,
,,,
,,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,0,,
,0,,
,1,,
,1,,
,1,,
,0,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,0,,
,0,,
,0,,
,1,,
,0,,
,,,
,,,
http,1,,3
http,1,,2
http,1,,4
http,1,,5
http,1,,1
http,1,,6
http,1,,7
http,1,,9
http,1,,8
http,1,,10
,,,
,,,
,,,
,,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,1,,
,0,,
,0,,
,0,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,,,
,Ojasvi,,Ojasvi 
,,,
http,1,,5
http,1,,3
http,1,,1
http,1,,2
http,1,,4
http,1,,6
http,1,,7
http,1,,8
http,1,,9
http,1,,10
,,,
,,,
,,,
,0,,
,1,,
,1,,
,1,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,1,,
,1,,
,1,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,1,,
,1,,
,0,,
,1,,
,0,,
,0,,
,0,,
,1,,
,0,,
,,,
,,,
,,,
http,1,,1
http,1,,2
http,1,,3
http,1,,4
http,1,,5
http,1,,6
http,1,,7
http,1,,8
http,1,,9
http,0,,10
,,,
,,,
,,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,,,
,,,
http,1,,1
http,1,,2
http,1,,3
http,1,,4
http,1,,5
http,1,,6
http,1,,7
http,0,,9
http,1,,10
http,1,,8
,,,
,,,
,,,
,,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
